F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
-5.12,-147.74,-165.58,137.38,Medium,32.55,-139.18,21641.79,-4127.98,-232.78,37978.5,643.5,108.69,7.5,45.36,401.7,1837.84,-442.2,5088.72,0.06,-5110.42,6.54,7478.86,1997.12,4265.19,12,10,-6441.01,811.82,-65.79,-3.74,13.73,14.22,Europe,-462.72,-938.11,-132.92
53.07,-267.24,-209.2,107.3,Very low,26.7,-78.63,5299.08,-4993.74,-331.98,12079.74,564.18,170.24,4.26,14.52,386.52,2137.52,-543.39,-15378.64,14.88,-4997.94,0.26,7091.53,2232.3,2876.43,6,18,-5660.31,957.34,-76.5,-18.2,4.36,34.4,USA,-438.48,-1389.37,-117.29
-1.83,-166.22,-170.53,129.49,High,-8.25,-281.07,25277.94,-4226.28,-296.76,28340.85,580.53,165.92,0.12,41.46,239.94,2538.3,-454.89,-2496.96,59.97,-4737.3,7.18,12779.6,2338.02,3110.64,12,12,2333.13,1010.68,-79.56,-5.34,8.21,23.12,Europe,-262.44,-1148.67,2611.54
21.35,-111.32,-306.14,78.75,Very high,12.72,-173.98,14116.89,-6785.28,-117.14,23599.68,514.71,166,10.5,35.49,326.97,1219.04,237.59,24.34,8.4,-5279.76,2.46,5680.86,3996.94,4146.96,15,12,-4351.78,1893.12,-79.68,-17.86,10.76,18.98,USA,-541.14,-835.65,-111.05
30.14,-209.72,-189.93,62.14,Low,3.21,-160.51,7763.22,-5021.54,-142.1,22212.96,459.15,181.63,19.02,22.56,287.61,2893.92,-600.73,-10749.82,7.32,-5350.88,5.08,7215.13,2267.84,1772.79,9,16,-4656.9,1485.88,-85.32,-3.02,11.96,16.39,UK,-270.36,-1688.17,1506.14
3.46,-210.06,-178.17,90.17,Very high,48.06,-160.96,22440.42,-3053.76,-195.48,43301.79,428.64,206.4,3.51,27.87,362.67,1975.52,-263.1,-8935.64,4.71,-1938.38,13.12,12485.63,1928.52,1763.07,6,14,1175.42,329.74,-60.36,-18.96,6.45,16.29,Rest,-258.72,-1471.87,487.11
108.11,-196.06,-253.01,188.23,High,20.67,-134.56,25862.55,-4128.64,-79.24,35242.2,864.39,249.25,5.07,13.86,285.78,2583.24,-507.98,-8814.62,0.09,-4655.24,3.12,7470.29,2320.84,2832.48,12,10,-247.15,1461.48,-83.16,-14.8,11.42,17.6,Rest,-219.27,-860.76,-52.89
37.95,-190.8,-208.02,70.57,High,21.03,-205.26,37763.79,-4755.86,-151.12,28720.89,490.8,183.29,12.48,10.83,208.38,2306.24,-352.13,-11677.18,1.8,-4081.82,5.32,9875.77,2336.32,2136.96,21,6,-4883.04,642.12,-67.44,-11.54,15.4,17.45,UK,-370.98,-1061.58,583.77
49.57,-192.52,-180.47,107.72,Low,16.17,-197.23,-5989.59,-3914.08,-173.98,35485.53,526.74,158.41,2.1,28.77,265.23,1852.4,175.77,-7376.14,43.17,-3863.8,0.06,3248.85,2654.48,3155.64,6,14,-1836.52,922.76,-71.4,-11.1,16.19,13.77,USA,-314.31,-1662.67,1385.48
58.32,-218.8,-141.2,90.21,Very high,13.89,-198.13,-4412.55,-3680.22,-155.74,31168.95,370.5,141.34,8.67,55.5,288.93,1646.86,50.99,-4111.9,1.05,-3678.48,14.08,7034.4,2484.56,1432.56,15,12,-408.34,989.06,-75.9,-5.56,17.55,18.64,USA,-279.18,-1001.19,72.89
88.74,-203,-202.68,143.43,High,10.62,-101.73,12426.27,-5058.92,-178.22,29586.99,464.94,165.62,-10.35,52.92,237.06,1633.74,-630.25,-7033.6,76.98,-4440.2,1.18,12825.59,2276.96,2908.56,21,10,-4825.28,1122.72,-75.87,-6.8,11.93,15.49,UK,-321.81,-1254.63,951.55
74.87,-184,-207.54,84.84,Very high,15.63,-188.94,18671.55,-2473.9,-120.22,6540.36,466.56,49.1,15.39,47.67,251.16,2452.92,-568.8,10944.86,3.15,-3973.44,4.96,5139.66,1693.22,3769.92,15,6,4935.18,1053.54,-67.05,-0.78,5.34,14.17,Europe,-308.34,-753.12,2230.45
33.04,-216.62,-229.61,85.92,Medium,8.67,-171.73,8908.38,-4512.88,-202.78,33967.98,583.29,151.87,20.25,41.04,378.15,2762.44,-171.19,-12241.58,8.37,-2034.58,0.82,10021.25,1852.18,2180.22,6,6,2810.82,2007.76,-74.1,-5.64,12.51,20.68,Rest,-313.17,-1540.91,1287.18
-52.22,-149.38,-164.69,116.2,Medium,28.8,-150.71,15584.91,-3540.78,-101.5,36654.63,389.52,124.01,23.34,31.11,232.86,1543.88,-129.54,-8445.96,0.12,-4096.74,16.18,4059.28,1865.24,1889.73,18,12,313.03,1621.44,-76.68,-6.76,10.31,18.32,Rest,-467.22,-1352.29,5.32
63.04,-325.92,-190.17,106.57,Medium,15.33,-156.6,5181.27,-4992.04,-135.94,36041.61,496.74,161.03,15.21,29.37,172.77,1836.76,-154.48,-10089.32,134.97,-3876.84,3.74,5071.15,1834.04,2161.59,18,16,-5242.89,1027.5,-61.95,-10.46,13.63,11.6,UK,-256.62,-1364.72,289.42
111.83,-213.22,-216.23,219.01,Medium,23.79,-173.76,10677.87,-4288.04,-206.46,20081.25,547.05,151.08,-6.3,45.09,364.11,2814.58,-350.13,-1653.7,0.09,-3404,7.88,6872.26,2335.52,3849.6,12,2,-1649.29,1539.2,-77.28,-4.02,3.72,17.98,Europe,-192.54,-1013.86,690.58
105.97,-33.46,-188.06,129.93,Very high,4.8,-153.11,27884.55,-5092.4,-257.4,29773.83,607.77,173.07,15.48,44.82,348.24,2061.74,-111.64,-4681.92,5.82,-4511.08,4.5,9312.19,1764.78,1219.35,12,12,3022.9,1560.72,-64.35,-4.2,8.5,16.18,USA,-484.68,-855.15,3024.4
45.47,-193.58,-200.27,89.77,High,6.33,-148.73,1891.74,-3449.08,-167.02,39642.6,490.47,152.26,9.27,23.25,56.01,2610.24,-671.45,-12555.16,0.36,-3966.2,11.1,10675.99,2345,2475.87,9,6,-3964.59,460.14,-61.59,-5,12.84,17.03,USA,-345,-752.57,384.87
84.67,-165.72,-284.74,89.49,Low,18.96,-164.9,21803.67,-4228.34,-146.3,14476.44,774.69,199.98,-11.67,30.66,269.37,1217.04,-267.76,-11470.54,46.26,-4098.66,5.04,12779.15,1833.58,1541.91,9,4,-4863.47,1374.14,-92.76,-9.52,20.01,14.54,USA,-437.61,-902.2,1682.5
19.83,-222.36,-176.85,157.29,Very low,3.66,-50.67,25168.14,-3663.22,-109.6,19811.31,509.31,184.92,1.26,51.03,234.24,2353.7,-4.37,-14205.3,21,-4196.04,16.14,5310.63,2550.5,2056.41,9,10,-2625.99,549.46,-80.67,-7.42,17.26,18.29,UK,-232.71,-1070.96,824.73
37.3,-227.34,-209.54,135.48,Very high,24.99,-41.67,17822.85,-3605.48,-195.08,5603.4,629.94,204.59,2.19,35.91,326.79,2183.2,-127.35,1365.54,31.92,-4181.62,6.9,7067.34,2839.12,2333.19,15,12,-2780.7,3744.48,-55.71,-4.74,4.86,10.33,USA,-422.37,-1432.48,3623.28
39.24,-153.06,-220.06,56.67,Very high,28.77,-160.11,6382.65,-4191.24,-99.72,34916.43,482.64,179.82,6.6,50.13,245.67,2207.44,-777.04,-17010.4,0.06,-3437.3,2.68,5160.29,2860.86,703.53,9,14,-1730.53,1206.06,-66.27,-11.08,19.74,20.91,Europe,-220.74,-889.76,-1002.37
103.45,-170.38,-191.08,111.54,Very low,32.52,-53.95,19519.8,-3727.74,-133.58,41016.15,647.22,317.81,2.82,34.05,367.59,2227.72,-591.79,-5028.34,9.33,-2543.38,4.16,12256.02,2090.96,3068.46,21,14,617.44,625.26,-54.96,-4.62,29.19,17.41,Europe,-433.8,-1312.51,-392.46
42.06,-140.7,-199.31,110.86,High,17.82,-120.66,21971.55,-4445.9,-201.94,31903.8,437.88,166.42,7.68,36.3,262.56,1645.94,-420.73,-16454.08,0.39,-4214.06,9.3,5225.08,1715.16,3337.02,12,8,2144.21,207.56,-74.94,-12.42,8.67,17.42,USA,-372.24,-1595.93,1715.05
77.63,-145.9,-208.97,98.62,Low,22.44,-179.85,3075.36,-4206.06,-183.46,25661.94,651.45,278.79,8.31,37.92,286.53,2513.62,-963.33,-3405.74,170.28,-4293.7,1,4758.53,2610.22,2746.41,9,4,4541.28,2005.34,-66.6,-7.86,11.98,19.09,UK,-292.23,-1229.56,1426.94
48.27,-216.84,-206.9,115.78,Medium,21.12,-153.95,1387.92,-3892.26,-186.74,28016.16,526.89,174.26,12.72,36.42,283.74,2185.02,-137.81,-10463.4,4.23,-3365.7,2.08,9767.67,1310.62,2709.93,12,6,1618.38,748.98,-72.36,-12.36,13.06,8.16,Europe,-287.64,-941.83,-778.42
51.73,-226.36,-193.32,128.39,High,41.91,-186.94,3868.92,-3099.92,-84.56,18521.46,499.29,198.26,16.89,4.2,270.69,1715.44,-340.66,-12877.58,3.27,-5351.94,7.44,8636.66,2771.76,3289.68,9,8,-2523.46,718.8,-72.84,-4.92,10.27,20.05,USA,-256.14,-1157.81,2332.87
65.94,-259.14,-194.9,64.16,Very low,13.83,-110.07,9599.01,-4322.6,-138.84,29258.97,456.27,178.68,20.52,38.28,308.67,2088.2,-227.28,-2604.78,16.68,-3176.38,8.74,3372.15,1934.76,2475.15,12,8,397.66,211.48,-78.72,-2.78,12.34,13.87,Rest,-205.8,-1281.84,504.61
62.6,-183.84,-179.69,62.04,Very low,19.26,-149.95,6959.37,-3707.9,-72.06,15369.3,526.62,165.59,18.06,48.27,299.76,2752.7,-141.35,-4698.84,47.1,-4142.72,2.86,3990.78,2104.42,3233.34,6,12,2643.12,545.26,-90.84,-7.92,11.2,15.34,UK,-325.47,-1498.47,1227.07
23.88,-234.18,-209.64,107.49,Very low,7.71,-156.67,33588.84,-4890.8,-169.9,37668.21,560.04,173.84,7.95,42.96,438.99,1863.06,-181.26,-9404.3,2.73,-1457.94,12.46,8762.38,1962.44,1756.47,27,12,-3438.05,1314.1,-62.49,-3.36,10.18,22.49,UK,-376.38,-1316.1,44.34
68.45,-30.4,-157.11,117.53,Very low,20.28,-159.28,1896.78,-4175.12,-76.92,29938.2,675.81,194.96,-6.54,49.11,193.35,3370.6,-383.43,-3954.5,2.67,-4151.26,18.7,1627.24,1943.38,2925.06,15,8,-4047.49,788.2,-76.92,-12.14,9.02,18.58,Rest,-246.72,-2077.69,264.18
53.93,-234.8,-190.9,127.69,Low,8.94,-157.19,1824.03,-4436.2,-60.52,27942.36,560.31,174.65,6.51,37.62,318.09,2075.9,-608.94,-16711.92,0.18,-3520.98,9.5,7236.25,1931.24,335.49,9,14,-7014.95,1102.86,-77.34,-3.6,12.02,19.9,Europe,-374.1,-1493.26,159.71
52.92,-165.5,-177.86,100.3,Very high,1.05,-175.92,12497.49,-4101.4,-194.6,26776.56,553.98,221.84,5.34,37.05,249.93,2312.08,9.14,-10765.76,7.08,-3108.08,7.4,4506.88,2675.92,3011.22,12,10,2061.75,156.2,-26.85,-6.72,12.31,17.31,Rest,-228.03,-1437.45,993.73
68.09,-160.64,-211.88,141.49,Very high,8.76,-161.75,15794.55,-4346.54,-249.92,32430.21,893.07,254.96,6.33,34.38,258.48,3912.14,-345.76,-924.26,39.96,-3125.82,6,5898.96,2958.92,2219.13,9,6,-881.41,1064.1,-72.87,-10.2,11.57,19.74,Rest,-432.27,-1321.03,1361.76
80.41,-2.68,-228.53,103.49,Medium,15.87,-166.7,-1109.37,-3939.36,-164.04,22732.32,488.31,77.9,10.5,34.14,197.43,1181.22,-295.54,-10000.34,2.61,-4165.52,17.92,5089.28,1575.9,-318.72,21,14,847.88,1407.7,-50.13,-5.38,15,16.22,Europe,-578.1,-1032.14,-1307.75
93.49,-131.26,-239.24,135.44,Low,24.75,-197.1,8968.59,-4877.94,-122.4,15096.18,559.65,164.29,12.57,30.45,223.65,2283.24,-185.51,-4525.44,83.97,-3813.62,6.34,4832.14,2752.58,1880.1,6,6,3602.31,1392.04,-72.39,-2.34,11.85,20.35,Europe,-235.77,-1526.86,2902.12
23.85,-372.96,-245.64,112.97,Low,15.18,-167.45,-10411.14,-5445.36,-6.98,22226.34,703.92,173.04,32.61,39.66,435.36,2377.68,-286.37,-5427,0.51,-3811.06,7.26,7089.38,1902.7,2887.95,24,8,1004.37,-112.12,-80.55,-1.6,10.08,15.67,Europe,-378.93,-1192.83,-1251.44
39.38,-91.82,-222.74,111.89,Very high,4.44,-153.97,18404.82,-4902.34,-152.68,24834.99,333.66,133.96,13.59,53.01,390.33,2025,-161.27,-11038.84,3.9,-4181.98,16.1,3750.45,586.9,3517.98,6,8,-1490.01,434.34,-68.52,-3.78,11.56,20.56,UK,-377.82,-1101.71,2076.29
45.34,-19.44,-105.81,98.28,Very high,1.11,-151.14,12774.36,-2437.92,-155.06,17746.74,511.35,209.26,-0.78,33.75,135.9,3295.56,-209.86,-3976.94,50.28,-4326.5,5.62,4652.5,1996.34,2874.18,12,4,-2990.26,1148.6,-58.59,-11.1,15.71,14.76,USA,-443.13,-1375.79,3632.57
34.24,-186.2,-218.17,126.05,High,22.11,-126.65,19989.6,-3607.74,-233.78,17798.25,455.91,84.89,7.14,41.61,392.49,2557.02,-784.02,-5642.4,42.78,-4419.14,4.46,8784.84,1770.86,2311.68,3,12,-3745.93,961.78,-75.99,-18.46,17.08,19.81,Rest,-185.76,-1031.62,440.72
41.24,-379.5,-251.08,95.67,Very high,-19.92,-150.07,20480.07,-4575.04,-144.54,19806.18,419.16,137.26,15.66,35.76,185.16,2926.68,-236.84,-15167.46,0.36,-3957.94,20.32,3324.82,2263.06,2081.94,3,12,506.84,369.7,-38.37,-4.22,15.5,15.21,Rest,-186.66,-1054.57,972.56
42.75,-287.2,-245.34,86.46,High,8.22,-180.34,15120.39,-4089.76,-97,11672.13,287.4,165.13,15.66,55.14,415.05,1510.02,-321.82,-9797.14,2.28,-3953.2,3.8,7979.34,2999.52,2483.37,9,12,-4712.79,355.24,-56.43,-3.38,15.14,16.9,UK,-362.16,-1034.28,1206.42
54.88,-101.26,-190.89,124.43,High,23.49,-202.02,8356.62,-3355.32,-140.54,29901.69,579.09,166.96,-2.43,27.42,234.63,1632.58,107.23,7172.74,0.36,-5403.14,17.58,9003.13,1706.28,1260.96,15,6,-3905.86,639.42,-86.94,-5.02,8.67,23.45,UK,-440.52,-1212.95,631.55
41.82,-234.14,-252.5,121.81,Low,3.81,-172.55,14302.35,-3940.48,-130.54,13762.62,291.12,165.49,1.89,39.42,227.07,2315.68,-797.97,-5323.64,0.27,-4932.72,5.74,7403.2,2844.36,872.43,18,4,-721.99,90.36,-34.77,-15.68,12.54,28.78,Rest,-248.28,-600.61,-259.42
101.98,-183.16,-219.7,113.22,Medium,-1.35,-211.1,-199.08,-3739.76,-189.58,21521.55,399.27,74.86,11.88,41.67,-17.19,1071.76,-36.32,-13781.86,8.79,-4046.14,1.18,8149.52,2219.36,972.75,12,16,-4688.89,527.66,-79.41,-9.22,11.14,11.44,USA,-206.07,-1335.28,116.81
68.44,-208.66,-200.87,102.13,Medium,24.33,-201.32,-1351.44,-5076.48,-163.96,28142.64,509.01,142.45,18.33,39.12,281.16,1026.94,-920.16,3046.24,21.36,-3806.02,9.38,9769.06,1557.46,2106.39,21,8,-4298,231.68,-90.78,-6.24,14.51,15.47,UK,-314.94,-1571.34,588.17
3.7,-177.34,-199.62,107.02,Very low,17.73,-108.77,17032.86,-4657.54,-199.68,23232.84,546.42,214.17,12.24,36,246,2364.5,167.41,-12884.1,1.65,-3886.54,11.24,10637.85,3050.26,3038.94,12,6,-260.33,767.22,-79.17,-10,12.88,15.32,USA,-480.93,-953.6,-48.78
57.39,-296.22,-208.76,95.37,Very low,12.42,-160.99,8086.98,-4390.88,-109.02,18388.8,343.05,128.02,11.04,34.17,136.11,2262.44,-347.68,-8717.48,2.49,-3822.7,10.94,3688.97,2245.9,2107.68,12,10,4147.67,789.1,-37.2,-7.32,17,18.14,Europe,-291.75,-1287.64,-392.07
43.08,-240.4,-216.59,126.51,High,-16.56,-104.28,19291.05,-4393.8,-154.14,21980.94,608.22,184.59,18.75,34.62,388.92,1294.68,223.69,-2533.9,8.7,-4197.5,26.78,4148.55,1863.64,3100.92,3,4,3886.31,167.8,-63.15,-5.12,18.53,13.54,Europe,-305.34,-1274.28,2876.65
4.26,-291.56,-224.1,62.63,Very low,13.35,-89.06,23089.02,-4831.74,-138.34,15893.28,404.88,182.59,5.85,52.47,352.29,2264.44,-223.29,5589.74,144.78,-3777.14,11.58,7313.23,2631.96,786.09,15,6,-4361.78,1016.62,-75.57,-6.38,8.4,31.98,UK,-368.31,-1553.41,1624.77
81.4,-118.42,-216.45,132.28,Very low,5.49,-157.24,74.37,-4543.44,-145.42,31360.17,493.41,148.16,20.97,33.9,336.81,1935.4,-195.74,-8563.94,1.77,-3494.22,6.18,13829.68,2852.38,1653.51,12,2,-3479.26,1109.4,-93.69,-7.48,7.18,21.16,Rest,-280.08,-1022.34,23.18
76.92,-82.14,-45.45,147.26,Very high,6.78,-161.21,11753.07,-3534.76,-199.86,3143.28,582.66,174.19,4.5,36.72,249.06,992.1,-318.03,2185.62,48.57,-4082.64,3.08,6318.41,3277.66,2340.69,12,4,520.4,1451.74,-59.13,-12.02,13.26,16.05,Europe,-483.24,-1021.09,1796.89
25.06,-231.1,-259.19,83.39,Very low,5.82,-150.24,12662.82,-4500.78,-95.1,28165.5,507.21,128.82,10.14,40.44,252.57,1102.26,-806.01,-9784.24,16.14,-3901.72,2.9,14665.47,2726.78,2358.99,6,4,2050.9,1272.5,-103.62,-3.4,6.71,17.83,Rest,-273.45,-1446.8,1049.23
79.89,-260.8,-185.19,149.09,High,13.26,-191.4,14175.27,-3028.58,-129.64,29093.61,661.8,112.68,16.17,45.78,269.07,1827.44,-695.97,-7355.02,69.36,-968.64,3.1,6664.49,2322.04,2181.72,15,10,473.92,2088.06,-73.59,-3.78,13.73,19.18,Rest,-293.1,-984.9,705.28
-25.02,-207.56,-215.79,176.4,Low,1.65,-149.54,17746.92,-4305.14,-108.12,21883.32,811.26,164.32,-1.77,34.83,173.58,2093.42,-776.38,-1472.46,29.49,-3103.98,10.98,3956.31,1673.12,3054.69,15,4,-3069.31,-213.16,-69.15,-7.68,12.6,28.63,Rest,-193.44,-969.12,327.23
13.83,-257.02,-193.05,120.25,Very low,21.9,-95.35,14353.68,-3991.56,-217.34,28631.85,525.21,149.59,5.55,41.88,428.85,1593.74,-987.75,-6379.54,0.24,-4108.9,7.02,5665.83,2755.54,3727.41,3,4,-3348.3,1189.86,-73.98,-9.44,18.19,13.12,USA,-348.6,-958.5,168.28
-0.94,-187.04,-212.95,59.51,Very high,-0.03,-156.26,18870.06,-5945.68,-223.68,28714.14,701.82,224.37,22.38,39.93,244.95,3314.98,-297.31,1595.62,0,-3350.12,5.48,6746.59,2608.06,1829.49,9,12,-4864.58,-323.06,-67.59,-6.82,8.74,22.5,UK,-397.56,-1492.56,1150.58
-4.11,-212.52,-216.45,56.53,Medium,8.19,-176.95,5990.22,-4475.86,-239.9,25829.13,457.41,210.99,4.89,35.16,287.88,2980.28,-244.25,-9393.6,1.47,-3894.64,4.86,5016.47,2353.38,1294.86,24,6,-4002.15,928.94,-75.51,-7.58,4.63,15.82,Europe,-149.4,-1080.55,-994
48.53,-195.9,-236.5,124.46,High,-9.24,-160.63,5344.35,-4979.02,-80.24,29493.39,531.84,185.1,0.99,47.46,278.61,1914,-498.79,-9843.44,3,-4162.26,7.12,7019.54,2731.64,1564.53,12,10,-555.42,1795.52,-76.59,-3.18,12.67,16.9,Rest,-371.73,-1086.09,493.09
15.73,-194.28,-209.8,57.34,Very low,32.49,-148.95,7360.89,-6104.54,-119.82,32601.9,603.03,221.31,12.39,40.23,197.37,2197.34,-240.51,-8614.28,219.36,-3163.34,9.12,5555.05,1227.58,2649.03,9,4,-3232.85,1300.98,-82.26,-12.06,13.54,21.3,USA,-389.13,-1196.9,1191.77
-0.48,-316.38,-192.71,144.49,High,13.23,-145.79,8861.52,-3819.34,-213.3,32860.68,532.14,224.27,11.01,10.38,330.81,2779.82,-417.48,-7505.2,29.7,-3776.4,4.12,11606.11,1260.4,2782.44,15,14,2317.58,402.72,-74.46,-7.76,10.15,21.33,USA,-335.04,-1333.41,1860.22
12.07,-409.9,-205.73,129.93,High,24.15,-158.15,5921.16,-3393.84,-197.64,24819.15,362.91,182.72,17.01,40.47,401.46,1795.18,-639.55,-5808.5,2.04,-3298.34,3.88,3632.11,1626.1,3672.66,12,8,-2347.05,657.56,-86.19,-5.04,11.86,12.16,UK,-191.46,-1679.7,1676.08
26.64,-282,-209.5,76.5,Medium,3.03,-175.32,16661.7,-5825.56,-213.84,2148.84,669.36,214.37,5.85,28.02,328.8,2453.22,-133.86,-12731.64,0.84,-4187.84,2.78,1695.54,2154.18,2059.29,3,16,-4452.61,682,-76.35,-5.88,15.15,19.47,Rest,-275.25,-1252.36,620.66
66.71,-237.9,-197.44,169.14,Low,24.75,-170.16,13094.49,-2972.52,-127.56,21948.21,754.47,115.97,15.27,36.51,218.01,2708.3,349.3,-14938.92,0.06,-3468.52,11.5,14501.46,1724.66,1968.81,18,6,-2139.86,1041.82,-67.77,-15.7,17.62,16.72,USA,-265.2,-1406.43,-149.01
107.48,-199.08,-287.31,117.59,Medium,20.31,-141.51,13636.47,-4047.96,-233.5,25410.6,515.04,159.27,-8.79,39.03,314.37,2820.84,216.82,-9591.44,1.44,-3456.76,2.64,7159.64,2013.24,3370.41,24,4,1270.46,1382.86,-53.34,-15,-1.8,16.21,Rest,-418.11,-1609.79,51.39
38.73,-288.08,-188.37,80.48,High,19.92,-39.94,32996.43,-4315.4,-161.64,36795.24,682.44,157.97,12.06,45.69,265.68,1959.18,42.92,726.8,735.03,-3638.04,28.52,7062.75,2849.96,1056.18,9,6,3630.11,-1106.12,-76.53,-5.1,11.87,15.35,Rest,-367.05,-942.34,1596.99
84,-243.54,-202.74,121.26,Very high,5.94,-140.41,3920.97,-4826.98,-143.32,25701.45,570.72,129.18,15.72,15.51,209.73,2455.54,-402.55,-7306.62,0.21,-5010.08,10.82,5071.98,1137.68,1001.55,6,6,-1449.11,-416.08,-67.5,-9.22,12.15,16.84,Rest,-302.25,-1176.53,502.27
57.73,-187.52,-217.41,133.4,Low,10.71,-155.7,14947.5,-2928.94,-151,28826.07,556.08,159.9,21.57,38.1,183.48,1079.06,-316.77,-11118.14,29.82,-3824.06,12.6,8068.29,2662.34,1486.5,15,6,-4236.21,775,-76.35,-4.22,12.3,18.06,Rest,-324.24,-1202.63,514.31
26.53,-228,-188.83,113.51,Medium,50.61,-230.79,7428.87,-2779.92,-208.68,13537.11,546.93,171.8,23.79,17.94,130.08,3433.3,-526.38,-13174.1,1.29,-3975.64,1.64,3625.02,2516.56,3033.27,15,4,-511.82,128.42,-74.82,-30.26,8.48,18.64,UK,-292.14,-1125.31,-1543.26
37.5,-95.02,-177.05,101.32,Very high,-9.54,-105.85,15965.82,-3278.64,-188.84,41038.47,548.07,246.24,11.34,40.83,288.33,1955.44,-737.77,-2840.74,0.27,-4015.9,7.58,10098.7,1654.52,2432.34,9,12,2915.61,766.76,-65.58,-10.1,14.13,16.97,Europe,-113.7,-968.54,197.81
23.78,-214.76,-179.16,192.64,Medium,11.64,-118.97,10159.77,-3203.2,-203.84,21309.39,842.31,185.65,18.87,47.7,314.1,926.98,-477.68,-9644.98,4.41,-3671.2,19.74,7172.07,2226.36,2959.56,9,6,-786.58,506.58,-58.08,-5.02,14.64,13.11,Europe,-297.6,-1261.24,1850.73
38.18,-354.24,-242.95,92.83,Low,17.85,-88.65,-3472.29,-1623.28,-242.44,18624.27,448.47,162.72,10.05,26.7,208.74,2080.9,-437.74,-10405.58,0.12,-3516.78,6.84,5048.07,1590,2241.3,9,4,-1464.51,-151.5,-75.63,-0.88,1.16,22.47,UK,-217.71,-969.15,323.67
30.3,-195.3,-226.04,92.3,Very low,3.69,-168.23,18388.86,-4657.52,-193.9,11338.83,507.15,53.65,20.52,29.94,242.91,2573.2,-324.43,-6411.24,27.36,-4066.04,17.62,5394.24,3088.52,385.38,12,12,-4668.59,1432.94,-67.86,-4.32,22.58,23.99,Rest,-314.91,-877.13,203.32
105.92,-298.52,-247.15,73.02,Very high,42.81,-231.34,8699.55,-5694.66,-275.44,16315.38,307.53,211.31,2.94,31.71,213.6,1893.58,-455.54,-9089.62,11.34,-4277.22,8.2,8331.95,2181.32,1603.44,15,2,933.37,-69.02,-77.43,-15.48,9.74,18.28,UK,-337.38,-946.97,401.59
41.9,-229.1,-259.6,111.91,Very low,3.3,-152.6,6761.25,-4577.14,-148.12,36730.95,382.56,167.21,12.09,39.39,303.66,2424.6,-268.12,-11932.54,14.79,-3429.02,5.88,3795.23,3185.78,885.39,15,10,446.38,1317.92,-68.16,-7.36,18.63,19.33,Rest,-385.92,-1233.74,101.22
34.02,-201.12,-197.78,114.36,Very high,4.92,-191.59,12548.07,-4533.22,-236.98,20107.23,315.63,160.75,19.29,41.34,249.15,1829.5,-1058.24,-19597.94,0.09,-5367.02,6.6,4892.47,2539.24,2486.55,15,8,-1122.82,398.3,-65.82,-15.98,12.23,19.6,Rest,-414.33,-1294.52,2.18
70.85,-278.34,-225.64,78.12,Very high,12.6,-149.05,24753.69,-4845.8,-147.04,21941.43,633.63,145.67,0.9,38.13,320.04,1714.82,-629.92,-14300.92,30.12,-3929.26,7.26,3523.83,3350.04,2769.6,15,8,-3116.36,654.04,-44.1,-7.28,11.1,11.78,Europe,-239.94,-1554.47,2839.52
61.25,-204.18,-227.47,79.61,Very high,14.7,-131.64,22374.36,-3310.2,-172.82,20906.49,588.12,73.03,18.18,47.1,268.89,2420.18,-213.85,457.3,146.73,-3547.82,11.08,9825.89,1713.12,3842.07,12,10,-3861.53,0.24,-71.1,-3.48,10.94,23.36,Europe,-285.84,-871.33,2738.03
62.22,-154.68,-149.69,105.74,Medium,19.29,-121.86,14163.9,-4350.72,-180.58,25126.11,516.78,167.17,-2.67,36.9,268.05,1305.58,260.89,-4493.76,307.98,-3698.38,4.5,5562.23,2179.98,1606.71,15,12,-3340.84,717.44,-61.32,-5.5,12.14,16.92,Europe,-307.17,-1965.95,2857.98
-7.72,-197.32,-172.88,42.55,Very high,17.19,-167.99,2917.95,-4291.08,-82.2,25974.27,557.19,134.24,13.5,59.28,149.7,695.44,-540.95,-2655.28,0,-5376.18,8.26,6925.18,2790.92,2951.76,6,8,-2238,-176.46,-59.61,-18.98,6.25,13.61,Rest,-195.15,-1313.48,-108.53
46.4,-180.16,-281.22,96.62,Very high,16.2,-187.2,6009.15,-5359.82,-118.66,14629.05,436.17,149.54,-1.38,55.86,262.5,2301.32,-430.34,6144.12,179.37,-4259.56,7.44,2815.61,1989.7,3821.1,0,6,581.62,1948.8,-93.9,-9.82,17.11,22.03,UK,-251.37,-1265.05,2608.82
52.8,-281.18,-175.87,120.01,Very low,14.64,-201.79,9348.21,-4128.82,-151.2,28581.69,539.13,143.82,7.98,33.39,188.16,2140.18,-790.11,-1867.64,2.85,-4090.8,7.1,9166.61,2603.96,1430.22,18,16,-4050.26,704.54,-81.21,-22.44,9.51,13.82,Europe,-375.51,-1032.38,-1550.15
4.97,-256.1,-213.05,113.41,Very high,6.06,-219.88,3070.11,-3936.88,-343.32,28919.13,544.68,240.92,-2.13,15.33,285.36,2191.2,-515.72,-4882.02,14.58,-4153.8,2.32,8147.7,990.94,753.9,18,6,1137.32,743.28,-121.65,-9.6,10.84,14.45,Rest,-363.9,-1185.36,395.44
